Tên sản phẩm,Giá,Link sản phẩm,Link hình ảnh,Loại
Pour Homme EDT,2.399.000 ₫ 1.380.000 ₫,https://orchard.vn/san-pham/versace-pour-homme/,https://orchard.vn/wp-content/uploads/2014/06/versace-pour-homme_1-1-600x600.jpg; https://orchard.vn/wp-content/uploads/2014/06/versace-pour-homme_3-600x600.jpg; https://orchard.vn/wp-content/uploads/2014/06/versace-pour-homme_4-600x600.jpg; https://orchard.vn/wp-content/uploads/2014/06/versace-pour-homme_5-600x600.jpg; https://orchard.vn/wp-content/uploads/2014/06/versace-pour-homme_poster-600x771.jpeg,nam
Dylan Blue EDT,2.420.000 ₫ 1.580.000 ₫,https://orchard.vn/san-pham/versace-dylan-blue-pour-homme/,https://orchard.vn/wp-content/uploads/2016/12/versace-pour-homme-dylan-blue_1-600x600.jpg; https://orchard.vn/wp-content/uploads/2016/12/versace-pour-homme-dylan-blue_2-600x600.jpg; https://orchard.vn/wp-content/uploads/2016/12/versace-pour-homme-dylan-blue_3-600x600.jpg; https://orchard.vn/wp-content/uploads/2016/12/versace-pour-homme-dylan-blue_4-600x600.jpg; https://orchard.vn/wp-content/uploads/2016/12/versace-pour-homme-dylan-blue_5-600x600.jpg,nam
Aqva Pour Homme EDT,2.950.000 ₫ 2.480.000 ₫,https://orchard.vn/san-pham/bvlgari-aqva-pour-homme/,https://orchard.vn/wp-content/uploads/2014/06/bvlgari-aqva-pour-homme-edt_1-600x600.jpg; https://orchard.vn/wp-content/uploads/2014/06/bvlgari-aqva-pour-homme-edt_2-600x600.jpg; https://orchard.vn/wp-content/uploads/2014/06/bvlgari-aqva-pour-homme-edt_3-600x600.jpg; https://orchard.vn/wp-content/uploads/2014/06/bvlgari-aqva-pour-homme-edt_banner-600x243.jpg,nam
Dolce & Gabbana Light Blue Forever Pour Homme EDP,2.810.000 ₫ 2.580.000 ₫,https://orchard.vn/san-pham/dolce-gabbana-light-blue-forever-pour-homme/,https://orchard.vn/wp-content/uploads/2021/10/dolce-gabbana-light-blue-forever-pour-homme_1-600x600.png; https://orchard.vn/wp-content/uploads/2021/10/dolce-gabbana-light-blue-forever-pour-homme_2-600x600.png; https://orchard.vn/wp-content/uploads/2021/10/dolce-gabbana-light-blue-forever-pour-homme_3-600x600.png; https://orchard.vn/wp-content/uploads/2021/10/dolce-gabbana-light-blue-forever-pour-homme_4-600x600.png,nam
Voyage EDT,1.350.000 ₫ 680.000 ₫,https://orchard.vn/san-pham/nautica-voyage/,https://orchard.vn/wp-content/uploads/2018/05/nautica-voyage-by-nautica-for-men-edt-100ml_1-600x600.jpg; https://orchard.vn/wp-content/uploads/2018/05/nautica-voyage-by-nautica-for-men-edt-100ml_2-600x600.jpg; https://orchard.vn/wp-content/uploads/2018/05/nautica-voyage-by-nautica-for-men-edt-100ml_3-600x600.jpg; https://orchard.vn/wp-content/uploads/2018/05/nautica-voyage-by-nautica-for-men-edt-100ml_poster-600x816.jpg,nam
Voyage Sport EDT,980.000 ₫ 680.000 ₫,https://orchard.vn/san-pham/nautica-voyage-sport-edt/,https://orchard.vn/wp-content/uploads/2025/04/nautica-voyage-sport-edt-1-600x600.webp; https://orchard.vn/wp-content/uploads/2025/04/nautica-voyage-sport-edt-4-600x600.webp; https://orchard.vn/wp-content/uploads/2025/04/nautica-voyage-sport-edt-2-600x600.webp; https://orchard.vn/wp-content/uploads/2025/04/nautica-voyage-sport-edt-3-600x600.webp,nam
Supremacy Silver EDP,1.680.000 ₫ 880.000 ₫,https://orchard.vn/san-pham/afnan-supremacy-silver-edp/,https://orchard.vn/wp-content/uploads/2020/12/afnan-supremacy-silver_1-600x600.jpg; https://orchard.vn/wp-content/uploads/2020/12/afnan-supremacy-silver_2-600x600.jpg; https://orchard.vn/wp-content/uploads/2020/12/afnan-supremacy-silver_3-600x600.jpg; https://orchard.vn/wp-content/uploads/2020/12/afnan-supremacy-silver_4-600x600.jpg,nam
Acqua di Gio EDP,3.949.000 ₫ 2.480.000 ₫,https://orchard.vn/san-pham/giorgio-armani-acqua-di-gio-edp/,https://orchard.vn/wp-content/uploads/2024/06/giorgio-armani-acqua-di-gio-edp_1-600x600.jpg; https://orchard.vn/wp-content/uploads/2024/06/giorgio-armani-acqua-di-gio-edp_2-600x600.jpg; https://orchard.vn/wp-content/uploads/2024/06/giorgio-armani-acqua-di-gio-edp_3-600x600.jpg; https://orchard.vn/wp-content/uploads/2024/06/giorgio-armani-acqua-di-gio-edp_4-600x600.jpg,nam
Acqua Di Gio Profondo EDP,3.590.000 ₫ 2.980.000 ₫,https://orchard.vn/san-pham/giorgio-armani-acqua-di-gio-profondo-edp/,https://orchard.vn/wp-content/uploads/2020/08/giorgio-armani-acqua-di-gio-profondo_1-600x600.jpg; https://orchard.vn/wp-content/uploads/2020/08/giorgio-armani-acqua-di-gio-profondo_2-600x600.jpg; https://orchard.vn/wp-content/uploads/2020/08/giorgio-armani-acqua-di-gio-profondo_3-600x600.jpg; https://orchard.vn/wp-content/uploads/2020/08/giorgio-armani-acqua-di-gio-profondo_4-600x600.jpg; https://orchard.vn/wp-content/uploads/2020/08/giorgio-armani-acqua-di-gio-profondo_5-600x600.jpg,nam
La Nuit De L’Homme EDT,3.290.000 ₫ 2.280.000 ₫,https://orchard.vn/san-pham/yves-saint-laurent-la-nuit-de-lhomme-edt/,https://orchard.vn/wp-content/uploads/2019/11/yves-saint-laurent-la-nuit-de-lhomme-edt_1-600x600.jpg; https://orchard.vn/wp-content/uploads/2019/11/yves-saint-laurent-la-nuit-de-lhomme-edt_2-600x600.jpg; https://orchard.vn/wp-content/uploads/2019/11/yves-saint-laurent-la-nuit-de-lhomme-edt_3-600x600.jpg; https://orchard.vn/wp-content/uploads/2019/11/yves-saint-laurent-la-nuit-de-lhomme-edt_4-600x600.jpg; https://orchard.vn/wp-content/uploads/2019/11/yves-saint-laurent-la-nuit-de-lhomme-edt_5-600x600.jpg; https://orchard.vn/wp-content/uploads/2019/11/yves-saint-laurent-la-nuit-de-lhomme-edt_6-600x600.jpg,nam
